,count,sample,catalogue,Taxo_level,species,genus,family,order,class,phylum,superkingdom,knowledge
66,507,msp_0069,gut & oral,species,Bacteroides vulgatus,Bacteroides 3,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
73,474,msp_0076,gut,species,Blautia wexlerae,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
43,467,msp_0046,gut,species,Bacteroides uniformis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
147,405,msp_0154,gut,species,Fusicatenibacter saccharivorans,Fusicatenibacter,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
11,403,msp_0012,gut,species,Parabacteroides distasonis,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
369,403,msp_0388,gut,species,Faecalibacterium prausnitzii 3 [F. longum],Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
65,393,msp_0068,gut,species,Agathobacter rectale,Agathobacter,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
1108,374,msp_1244,gut,species,Collinsella aerofaciens,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
102,371,msp_0107,gut,species,Anaerostipes hadrus,Anaerostipes,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
10,355,msp_0011,gut,species,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
370,353,msp_0389,gut,species,Faecalibacterium prausnitzii 4,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
69,353,msp_0072,gut,species,Roseburia inulinivorans,Roseburia,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
722,352,msp_0769,gut,species,Agathobaculum butyriciproducens,Agathobaculum,Butyricicoccaceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
449,350,msp_0468,gut,species,Firmicutes bacterium CAG:41 / [Clostridium] sp. 2789STDY5834935 & sp. 2789STDY5608853,unclassified Monoglobales UBA1381,Monoglobales UBA1381,Monoglobales,Clostridia,Firmicutes,Bacteria,unknown
6,344,msp_0007,gut,species,Bacteroides ovatus,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
198,344,msp_0208,gut,species,[Ruminococcus] sp. Marseille-P328 & Blautia sp. 2789STDY5608844 & sp. 2789STDY5608844,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1591,344,msp_0166,gut & oral,species,Bifidobacterium longum,Bifidobacterium,Bifidobacteriaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
285,339,msp_0301,gut,species,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
483,337,msp_0506,gut,species,Dorea formicigenerans,Dorea,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
118,336,msp_0124,gut,species,[Candidatus Cibiobacter] qucibialis,Gemmiger,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
417,336,msp_0436,gut,species,Blautia obeum,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
356,328,msp_0374,gut,species,Gemmiger formicilis,Gemmiger,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
27,322,msp_0029,gut,species,[Eubacterium] eligens,Lachnospira,Lachnospiraceae H,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
14,320,msp_0015,gut,species,Agathobacter faecis,Agathobacter,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
25,319,msp_0027,gut,species,Parabacteroides merdae,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
86,317,msp_0090,gut,species,Alistipes putredinis,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
72,311,msp_0075,gut,species,Lachnospiraceae sp. 3,unclassified Lachnospiraceae G,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
247,303,msp_0259,gut,species,Coprococcus comes,Coprococcus B,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
59,303,msp_0062,gut,species,Odoribacter splanchnicus,Odoribacter,Marinifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
329,302,msp_0346,gut,species,Lachnoclostridium sp. SNUG30386 / [Clostridium] sp. CAG:43,Lachnoclostridium,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
42,301,msp_0045,gut,species,[Ruminococcus] bromii 2,Acutalibacteraceae 3 CAG-581,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
314,298,msp_0331,gut,species,Dysosmobacter welbionis,Dysosmobacter - Oscillibacter,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
462,298,msp_0484,gut,genus,unclassified Faecalibacterium,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
828,294,msp_0893,gut,species,Faecalibacterium prausnitzii 2 [F. moorei],Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
135,293,msp_0141,gut,species,Blautia massiliensis,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
145,292,msp_0152,gut,species,Mediterraneibacter faecis,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
120,290,msp_0126,gut,species,[Ruminococcus] torques,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
202,286,msp_0213,gut,species,Flavonifractor plautii,Flavonifractor,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
22,282,msp_0023,gut,species,Bacteroides caccae,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
1596,275,msp_0380,gut & oral,species,Streptococcus salivarius,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
716,271,msp_0763,gut,species,[Oscillibacter] sp. ER4 / Firmicutes bacterium CAG:129_59_24,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
32,271,msp_0035,gut,species,Bacteroides dorei,Bacteroides 3,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
119,269,msp_0125,gut,species,Firmicutes bacterium CAG:24 / [Clostridium] sp. 2789STDY5834869 & 2789STDY5834922,Eisenbergiella,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
187,264,msp_0196,gut,species,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
105,264,msp_0110,gut,species,Bilophila wadsworthia,Bilophila,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota,Bacteria,known
251,262,msp_0263,gut,species,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
4,252,msp_0005,gut & oral,species,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,known
55,251,msp_0058,gut,species,[Ruminococcus] gnavus,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
833,250,msp_0898,gut,species,butyrate-producing bacterium SS3/4-[Clostridium] sp. CAG:81,Lachnoclostridium 2,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
505,249,msp_0530,gut,species,Dorea longicatena 2,Dorea,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
47,245,msp_0050,gut,species,Anaerobutyricum hallii,Anaerobutyricum,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
28,240,msp_0031,gut,species,Bacteroides stercoris,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
29,238,msp_0032,gut,species,Alistipes onderdonkii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
224,236,msp_0236,gut,species,[Eubacterium] ventriosum,Lachnospiraceae B EuG,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
291,234,msp_0307,gut,species,Dorea longicatena,Dorea,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
56,233,msp_0059,gut,species,Barnesiella intestinihominis,Barnesiella,Barnesiellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
20,232,msp_0021,gut,species,Bacteroides xylanisolvens,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
76,231,msp_0079,gut,species,[Clostridium] sp. CAG:7,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
457,227,msp_0478,gut,species,Lawsonibacter phoceensis,Lawsonibacter,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
456,225,msp_0477,gut,species,Firmicutes bacterium CAG:83,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
16,224,msp_0017,gut,species,Roseburia intestinalis,Roseburia,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
179,223,msp_0188,gut,species,Erysipelatoclostridium sp1,Erysipelatoclostridium,Erysipelatoclostridiaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,unknown
544,220,msp_0572,gut,species,[Lachnospira] sp. 2789STDY5834967 / Clostridiales bacterium KLE1615 & 41_12_two_minus,unclassified Lachnospiraceae H,Lachnospiraceae H,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
12,219,msp_0013,gut,species,Ruminococcus bicirculans,Ruminococcus 2,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
163,217,msp_0172,gut,species,Ruthenibacterium lactatiformans,Ruthenibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
52,212,msp_0055,gut,species,Firmicutes bacterium CAG:65 / [Clostridium] sp. 2789STDY5608883,unclassified Lachnospiraceae G,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
68,208,msp_0071,gut,species,Roseburia hominis,Roseburia,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
838,204,msp_0903,gut,species,Oscillibacter sp. 57_20,Dysosmobacter - Oscillibacter,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
83,201,msp_0087,gut,species,Lachnospira pectinoschiza,Lachnospira,Lachnospiraceae H,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
437,201,msp_0456,gut,genus,unclassified Gemmiger,Gemmiger,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
560,200,msp_0591,gut,genus,unclassified Enterocloster,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
276,200,msp_0291,gut,genus,unclassified Acutalibacteraceae 3 UBA1417,Acutalibacteraceae 3 UBA1417,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
246,192,msp_0258,gut,species,Anaerotignum faecicola,Anaerotignum,Anaerotignaceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
859,191,msp_0930,gut,genus,unclassified Lachnospiraceae K UBA7182,Lachnospiraceae K UBA7182,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
905,191,msp_0986,gut,species,[Coprococcus] catus,Frisingicoccus,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
339,190,msp_0356,gut,genus,unclassified Oscillospirales 5 CAG-110,Oscillospirales 5 CAG-110,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
136,185,msp_0142,gut,species,[Blautia] sp. CAG:52 & SG-772 & sp. 2789STDY5834917,Fusicatenibacter,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
214,184,msp_0225,gut,species,Alistipes obesi,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
45,183,msp_0048,gut,species,[Eubacterium] sp. CAG:38,Lachnospira,Lachnospiraceae H,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
377,176,msp_0396,gut,species,Adlercreutzia equolifaciens = Asaccharobacter celatus,Adlercreutzia,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
545,176,msp_0573,gut & oral,species,Eggerthella lenta,Eggerthella,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
320,174,msp_0337,gut,species,[Eubacterium] sp. 38_16 & CAG:146,Anaerobutyricum,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
679,172,msp_0722,gut,species,Blautia obeum 2,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
157,171,msp_0164,gut,species,[Ruminococcus] sp. 2789STDY5608794 & sp. 2789STDY5834890 / Firmicutes bacterium CAG:56,Lachnospiraceae K CAG-56,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
283,168,msp_0299,gut,species,[Eubacterium] ramulus,Lachnospiraceae C EuR,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
697,167,msp_0742,gut & oral,species,Streptococcus parasanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
259,166,msp_0271,gut,species,[Eubacterium] sp. CAG:180,Acutalibacteraceae 1 CAG-180,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
132,165,msp_0138,gut,species,Bifidobacterium pseudocatenulatum,Bifidobacterium,Bifidobacteriaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
438,165,msp_0457,gut,species,Faecalibacterium prausnitzii 9,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
2,165,msp_0003,gut,species,Bacteroides cellulosilyticus,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
125,164,msp_0131,gut,species,Phascolarctobacterium faecium,Phascolarctobacterium,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes,Bacteria,known
619,164,msp_0655,gut,species,[Ruminococcus] sp. 2789STDY5608817 / [Eubacterium] sp. 2789STDY5834872,unclassified Lachnospiraceae J,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1140,163,msp_1279,gut,genus,unclassified Acutalibacteraceae 3,Acutalibacteraceae 3,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
15,161,msp_0016,gut,species,Bacteroides plebeius,Bacteroides 2,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
9,161,msp_0010,gut,species,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
89,161,msp_0093,gut,species,[Clostridium] sp. CAG:62,Lachnospiraceae B EuB,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
8,159,msp_0009,gut,species,Enterocloster bolteae,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
1387,158,msp_1641,gut,genus,unclassified Lachnospiraceae K UBA7182,Lachnospiraceae K UBA7182,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
37,156,msp_0040,gut,species,Bacteroides massiliensis,Bacteroides 3,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
238,154,msp_0250,gut,species,[Ruminococcus] lactaris,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
85,152,msp_0089,gut,species,Alistipes finegoldii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
31,151,msp_0034,gut,species,[Faecalibacterium] sp. CAG:74,unclassified Christensenellales CAG-74,Christensenellales CAG-74,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
512,151,msp_0538,gut,species,Phascolarctobacterium succinatutens,Phascolarctobacterium,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes,Bacteria,known
818,150,msp_0881,gut & oral,species,Haemophilus parainfluenzae,Haemophilus,Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,known
38,149,msp_0041,gut,species,Prevotella copri,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
88,147,msp_0092,gut,species,Sutterella wadsworthensis,Sutterella,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria,Bacteria,known
1601,143,msp_0833,gut & oral,species,Streptococcus thermophilus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
729,141,msp_0777,gut,species,[Clostridiales] bacterium RUG303 & RUG439 & RUG453 / Firmicutes bacterium CAG:129,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
24,140,msp_0025,gut,species,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobiota,Bacteria,known
216,138,msp_0227,gut,species,[Eubacterium] sp. 36_13 & CAG:86 & RUG185,Lachnospira,Lachnospiraceae H,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1589,138,msp_0026,gut & oral,species,Paraprevotella clara,Paraprevotella,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
50,136,msp_0053,gut,species,[Eubacterium] siraeum,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
123,130,msp_0129,gut,species,[Clostridium] sp. CAG:58,Lachnoclostridium 2,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
403,129,msp_0422,gut,species,Romboutsia timonensis,Romboutsia,Peptostreptococcaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,known
270,129,msp_0285,gut,species,[Clostridium] sp. CAG:217 / Clostridiales bacterium CIM:MAG 317_1,Acutalibacteraceae 2 CAG-217,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
1189,128,msp_1349,gut,genus,unclassified Negativibacillus,Negativibacillus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
290,127,msp_0306,gut,species,Firmicutes bacterium CAG:176,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
323,126,msp_0340,gut,species,[Clostridium] leptum,Acutalibacteraceae 3,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
1100,125,msp_1236,gut,genus,unclassified Hungatella,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
768,124,msp_0820,gut,genus,unclassified Hungatella,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
296,121,msp_0312,gut,species,Firmicutes bacterium CAG:110,Oscillospirales 5 CAG-110,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
54,121,msp_0057,gut,species,[Roseburia] sp. CAG:45 & sp. 2789STDY5608886,Lachnospiraceae C EuR,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
36,120,msp_0039,gut,species,Lachnospiraceae bacterium hRUG904 / Clostridiales bacterium RUG495 / [Clostridium] sp. CAG:127,Lachnospiraceae A RUG495,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
